Symbol,Name,Revenue TTM,Revenue Growth TTM,Gross Profit TTM,Operating Income TTM,Net Income TTM,EBITDA TTM,EPS dil TTM,EPS dil growth TTM
1JANATAMF,FIRST JANATA BANK MUTUAL FUND,,,,,,,,
1STPRIMFMF,PRIME FINANCE FIRST MUTUAL FUND,,,,,,,,
AAMRANET,AAMRA NETWORKS LTD,942083070.0,-30.0870312993689,464361631.0,151478594.0,74823265.0,306380300.0,0.8047,-78.2982740021575
AAMRATECH,AAMRA TECHNOLOGIES LTD,278691541.0,-67.39435189926546,32965966.0,-23035735.0,-89426146.0,56257760.0,-1.382,-535.1385390428211
ABB1STMF,AB BANK 1ST MUTUAL FUND,,,,,,,,
ABBANK,AB BANK PLC,2290695952.0,-93.46727019582937,,-35637862470.0,-36779360245.0,,-41.0624,-5600.656396517078
ACFL,AMAN COTTON FIBROUS LTD,2427240382.0,48.870732619333204,244286477.0,163581171.0,-19097216.0,,-0.1906,65.46475810835297
ACI,ADVANCED CHEMICAL INDUSTRIES PLC,133285753225.0,8.59101943043522,32425624138.0,8405129849.999999,-1564338844.0,10236800790.0,-17.827,-54.13946651679565
ACIFORMULA,ACI FORMULATIONS PLC,5007290455.0,0.65263894109689,1634422228.0,771321324.0,431855114.0,,9.1398,52.546106984895246
ACMELAB,THE ACME LABORATORIES LTD,34746355572.0,12.772056071988287,14445458250.0,6235519156.0,2403247727.0,,11.3574,-0.7090090483892056
ACMEPL,ACME PESTICIDES LTD,,,,,,,,
ACTIVEFINE,ACTIVE FINE CHEMICALS LTD,,,,,,,,
ADNTEL,ADN TELECOM LTD,1809166668.0,32.292263056610366,642447652.0,306172243.0,171617821.0,485059650.0,2.6545,-4.383689935883571
ADVENT,ADVENT PHARMA LTD,478958279.0,-15.79177811463102,173341016.0,95907133.0,48685984.0,159811710.0,0.5227,-47.313778852938206
AFCAGRO,AFC AGRO BIOTECH LTD,,,,,,,,
AFTABAUTO,AFTAB AUTOMOBILES LTD,734433226.0,30.34071446938299,171323264.0,53306515.0,-108488759.0,134386770.0,-1.0279,26.646685220866335
AGNISYSL,AGNI SYSTEMS PLC,761838886.0,15.796065776097903,224507371.0,134202285.99999999,96849888.0,197763740.0,1.3348,25.2862774544772
AGRANINS,AGRANI INSURANCE CO LTD,273642170.0,10.73191499624557,,88409475.0,55731071.0,,1.5566,8.648007259021421
AIBL1STIMF,AIBL 1ST ISLAMIC MUTUAL FUND,,,,,,,,
AIL,ALIF INDUSTRIES LTD,924575513.0,17.848981045510918,154561906.0,140691944.0,131649167.0,148412950.0,2.7053,20.24089959553758
AL-HAJTEX,AL-HAJ TEXTILE MILLS LTD,,,,,,,,
ALARABANK,AL-ARAFAH ISLAMI BANK PLC,50876780443.0,9.581172971051156,,2502387283.0,578172444.0,,0.502,-78.43827849841078
ALIF,ALIF MANUFACTURING COMPANY LTD,1356842503.0,,123191791.0,94790673.0,72450188.0,156774290.0,0.2787,
ALLTEX,ALLTEX INDUSTRIES LTD,,,,,,,,
AMANFEED,AMAN FEED LTD,11209921261.0,11.324907058564266,1249500507.0,512255775.99999994,59182557.0,,0.4519,-18.208144796380086
AMBEEPHA,AMBEE PHARMACEUTICALS PLC,235216514.0,14.606183549829128,120097567.0,14442403.0,10079487.0,23440270.0,4.1998,-5.63307493540052
AMCLPRAN,AGRICULTURAL MARKETING COMPANY LTD (PRAN),3553260584.0,8.86163325239674,675344746.0,243141631.0,42526195.0,272999300.0,5.3158,6.335140325258545
ANLIMAYARN,ANLIMAYARN DYEING LTD.,,,,,,,,
ANWARGALV,ANWAR GALVANIZING LTD,568395997.0,-18.3497004192205,-37765332.0000001,-83859286.0,-118312832.0,-52448000.0,-3.9193,-273.6277854073451
AOL,ASSOCIATED OXYGEN LTD,,,,,,,,
APEXFOODS,APEX FOODS LTD,2078066423.0000002,6.410193787517981,193489916.0,44560859.0,25875703.0,61159070.0,4.5379,-27.61827288097745
APEXFOOT,APEX FOOTWEAR LTD,18039354773.0,16.077010855526314,4878903012.0,1407001293.0,183664351.0,,11.6817,22.87472388766172
APEXSPINN,APEX SPINNING & KNITTING MILLS LTD,5356157581.0,-1.9341278751244335,362234372.0,138137561.0,31296308.0,193133360.0,3.7258,-0.48079491425823484
APEXTANRY,APEX TANNERY LTD ,624743956.0,-28.394454824856048,-1311761.0000000498,-43567874.0,-278941005.0,,-18.3032,-249.35104596121542
APOLOISPAT,APPOLLO ISPAT COMPLEX LTD,,,,,,,,
ARAMIT,ARAMIT LTD,290841453.0,62.6679169132182,33104394.999999996,-40397860.0,22334040.0,-26648290.0,3.7224,348.10400866738894
