Symbol,Name,Market Capitalization Performance,Market Capitalization Performance % 1Y,P/E,"P/E/Growth, Trading 12M",P/S,P/B,P/CF,P/FCF,P/Cash,EV,EV/Revenue TTM,EV/EBIT TTM,EV/EBITDA TTM
1JANATAMF,FIRST JANATA BANK MUTUAL FUND,,,,,,,,,,,,,
1STPRIMFMF,PRIME FINANCE FIRST MUTUAL FUND,,,,,,,,,,,,,
AAMRANET,AAMRA NETWORKS LTD,1655042220.0,,22.120044737169135,,1.7370511192818692,0.48394512062332135,25.812007122808446,,83.1008168625963,2077708834.0,2.2054412186814907,13.716188102886354,6.781470068408446
AAMRATECH,AAMRA TECHNOLOGIES LTD,802371760.0,,,,2.8790693751268193,0.6002403865935342,2.488664788007224,2.488664788007224,70.54612365376131,1285467139.0,4.612508633694053,,22.849596908941983
ABB1STMF,AB BANK 1ST MUTUAL FUND,,,,,,,,,,,,,
ABBANK,AB BANK PLC,5822015961.0,-38.888890845550975,,,2.541592594781864,,,,,15528314661.0,6.778863274037863,,
ACFL,AMAN COTTON FIBROUS LTD,1845249970.0,-6.5989903224710655,,,0.743608533413071,0.5455186093389209,3.11653613031889,3.118872320389632,1.4201998144680665,2021311879.0,0.8327613095059325,12.35662930519448,
ACI,ADVANCED CHEMICAL INDUSTRIES PLC,17062819854.000002,23.728527092828564,,-0.20173149873408885,0.12834482520515494,2.901591344763149,,,1.9496341729854552,87181617854.00002,0.6540955484329111,10.3724296245108,8.516490614837881
ACIFORMULA,ACI FORMULATIONS PLC,6492149712.0,-5.124649734848689,15.033151710103068,0.2848451696660695,1.2908777827229139,1.8176822381886042,13.268250322330102,16.199126075843395,28.378874575441387,10154837712.0,2.028010518515048,13.165508911383391,
ACMELAB,THE ACME LABORATORIES LTD,17076256529.999998,-6.096136451165968,7.105499498124571,,0.48536472998020486,0.6596641451202264,7.1655758508305505,,10.918925765533132,40650998133.0,1.169935593641314,6.519264409252493,
ACMEPL,ACME PESTICIDES LTD,,,,,,,,,,,,,
ACTIVEFINE,ACTIVE FINE CHEMICALS LTD,2183423010.0,-32.62411532060057,,,,,,,,,,,
ADNTEL,ADN TELECOM LTD,4764830290.0,,27.764174044076096,,2.655155475039963,2.272720965064548,10.666103273548766,52.69555273494828,21.840883400826474,5031412662.0,2.7810664163750776,16.43327514604198,10.372770981878208
ADVENT,ADVENT PHARMA LTD,1369050690.0,,28.123206428161463,,2.8389484988942035,0.9050080188635684,15.648761822846426,106.12478850639398,379.45739354386654,1439964510.0,3.00645081865262,15.014154943433299,9.010381717334731
AFCAGRO,AFC AGRO BIOTECH LTD,910208005.0,-43.262412895574705,,,,,,,,,,,
AFTABAUTO,AFTAB AUTOMOBILES LTD,3715183748.0,-9.405947788849499,,,5.11605642144518,0.7344981249431392,373.5713437194105,,11.539687860707089,23549154132.0,32.06439101381287,441.76873920863716,175.23417023863286
AGNISYSL,AGNI SYSTEMS PLC,1857438700.0,-21.60494312937736,19.17890320647288,0.7377313685458242,2.3714320888577016,1.4861678986572822,18.178417944167304,66.26372641718098,88.31892614324849,1893175036.0,2.485007093743965,14.106875791761825,9.572912789776327
AGRANINS,AGRANI INSURANCE CO LTD,889661909.0,-19.77507637843809,15.867917255556982,,3.091992764126963,1.2821704082337142,,,,991840841.0,3.624590614085541,,
AIBL1STIMF,AIBL 1ST ISLAMIC MUTUAL FUND,,,,,,,,,,,,,
AIL,ALIF INDUSTRIES LTD,2297546564.7999997,,17.447233208886264,0.8601529121555025,2.4797098164117126,1.974587229691768,,,224.30175565887927,2287303458.7999997,2.4738957788080636,16.257530166973314,15.411751190175789
AL-HAJTEX,AL-HAJ TEXTILE MILLS LTD,,,,,,,,,,,,,
ALARABANK,AL-ARAFAH ISLAMI BANK PLC,19924266785.0,-32.17054063048573,34.462151394422314,,0.3961454479235435,0.8065260545211613,0.7181706571257328,0.7553161510119766,,66455840372.0,1.3062115918764565,,
ALIF,ALIF MANUFACTURING COMPANY LTD,1455591186.0,-45.71428752431771,20.09329027628274,,1.0727783954155812,0.3672620027452834,3.680819806298915,3.755116455869212,64.46177345333557,1437515011.0,1.0594560590648008,15.165152973388626,9.169328791091958
ALLTEX,ALLTEX INDUSTRIES LTD,604454400.0,,,,,0.5460944136564054,,,35.01444708335747,3989429400.0,,,
AMANFEED,AMAN FEED LTD,3156386641.0,-20.38834729164507,53.33038282805931,,0.27923412547866233,0.8469459690643322,19.07115793088251,19.264335585120968,23.051305555550286,8424683033.0,0.7515381095770928,16.446242994076126,
AMBEEPHA,AMBEE PHARMACEUTICALS PLC,2374560094.0,3.1074824253850593,196.3188723272537,,8.420837322671998,73.02386095619188,,,14.245297280953718,2236417094.0,9.507908505097562,154.8507930814823,95.40918658360164
