Symbol,Name,Operating CF TTM,Investing CF TTM,Financing CF TTM,FCF TTM,CAPEX TTM
GP,Grameenphone Ltd.,59341505000.0,-15679193000.0,-45533463000.0,43355138000.0,15986367000.0
SQURPHARMA,Square Pharmaceuticals PLC,27635316674.0,-15501195705.0,-10333414944.0,21038106610.0,6597210063.0
ROBI,Robi Axiata PLc,47336186000.0,-16545282000.0,-30987772000.0,30627818000.0,16708367999.999998
BRACBANK,BRAC Bank PLC,40989935451.0,-228626637264.0,207067498890.0,34367385030.0,6622550420.0
WALTONHIL,Walton Hi-Tech Industries PLC,18443717905.0,-4297254128.0,-13393301835.0,13895536070.0,4548181832.0
BATBC,British American Tobacco Bangladesh Co Ltd,3305145000.0,-6317742000.0,3196186000.0,-3054819000.0,6359964000.0
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,
MARICO,Marico Bangladesh Limited.,5281617649.0,6088912086.0,-11881948226.0,5086922900.0,203493432.0
UPGDCL,United Power Generation & Distribution Co. Ltd.,11963118890.0,17149748597.000002,-27697841404.0,11712510790.0,250608103.0
BERGERPBL,Berger Paints Bangladesh Ltd.,4142075000.0,-2199788000.0,-1895574000.0,1688636000.0,2453439000.0
ISLAMIBANK,Islami Bank Bangladesh PLC,149373411657.0,-290942134611.0,243832446099.0,145565656470.0,3807755185.0
LHB,LafargeHolcim Bangladesh PLC,8690887000.0,-4089652000.0,-4717495000.0,4599533000.0,4091354000.0
BXPHARMA,Beximco Pharmaceuticals Plc,,,,,
CITYBANK,City Bank PLC,15366019045.0,-94486521283.0,147926833777.0,13209750630.0,2156268418.0
RENATA,Renata PLC,5784457646.0,-4365905498.0,-695154652.0,1725607710.0,4058849934.0
PUBALIBANK,Pubali Bank PLC,52440657390.0,-215339407390.0,175721999248.0,49179334650.0,3261322738.0
EBL,Eastern Bank PLC,15570716435.0,-141119685003.0,129868961191.0,15273665070.0,297051368.0
UNILEVERCL,Unilever Consumer Care Limited,471286000.0,265010000.0,-1632775000.0,414204000.0,57082000.0
PRIMEBANK,Prime Bank PLC,16297870870.0,-64462703459.0,49426558141.0,14871928670.0,1425942199.0
DUTCHBANGL,Dutch-Bangla Bank PLC,46056478281.0,-127262295554.0,90587725924.0,43500714010.0,2555764268.0
ICB,Investment Corporation of Bangladesh,8432732902.0,-7215863659.0,-751176302.0,,0.0
POWERGRID,Power Grid Co. of Bangladesh Ltd.,17406702791.0,-120109733615.0,99522617124.0,-90826288520.0,108232991315.0
OLYMPIC,Olympic Industries PLC.,2840698447.0,-2497570866.0,-471828158.0,1275087750.0,1565610694.0
MJLBD,MJL Bangladesh PLC,5956011244.0,-8975111909.0,4480791487.0,-3409501960.0,9365513203.0
BANKASIA,Bank Asia PLC,16453599742.999998,-63616196282.0,47756861402.0,16257879540.0,195720201.0
BSRMSTEEL,BSRM Steels Limited,5635758133.0,-2405181454.0,-4799195751.0,-7904594970.0,13550532780.0
BSCPLC,Bangladesh Submarine Cables PLC,3367495915.0,-3269306692.0,-146306512.0,3354868130.0,12627782.0
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,7577413210.0,-3424583326.0,-4220286930.0,6158933360.0,1420642738.0
UTTARABANK,Uttara Bank PLC,10428829708.0,-51042470304.0,33890154086.000004,10095351000.0,333478705.0
BEACONPHAR,Beacon Pharmaceuticals PLC,,,,,
JAMUNABANK,Jamuna Bank PLC,-35580205375.0,-21969495779.0,64030137256.0,,0.0
MPETROLEUM,Meghna Petroleum Limited,3110183085.0,3471402636.0,-2165256485.0,2741264630.0,368918451.0
KOHINOOR,Kohinoor Chemical Co. (Bangladesh) Ltd.,572726311.0,-404036790.0,139947434.0,524019840.00000006,48706467.0
SHAHJABANK,Shahjalal Islami Bank PLC,12966982311.0,-40489075167.0,27212541477.0,12712083350.0,254898963.0
JAMUNAOIL,Jamuna Oil Company Limited,-7915888695.0,-6093006430.0,-763265967.0,-8323475570.000001,407586871.0
ACI,Advanced Chemical Industries PLC,-2380886694.0,-3927193520.0,6410154316.0,-5291068300.0,2910181604.0
TRUSTBANK,Trust Bank PLC,8951697537.0,-88178121533.0,85940891611.0,9002543560.0,-43948059.0
ALARABANK,Al-Arafah Islami Bank PLC,41935184526.0,-46389968540.0,36164470945.0,40816777860.0,1118406662.0
PADMAOIL,Padma Oil PLC,1292425000.0,-3872923000.0,-1371324000.0,-260206000.00000003,1552631000.0
IDLC,IDLC Finance PLC.,4350981019.0,-30866368876.0,26755765333.0,3645204800.0,705776216.0
TITASGAS,Titas Gas Transmission and Distribution PLC,6498183075.0,621139569.0,-792686527.0,5947593170.0,550589903.0
RECKITTBEN,Reckitt Benckiser (Bangladesh) PLC,556131935.0,-137700030.0,-2492224432.0,418430990.0,137700940.0
ACMELAB,ACME Laboratories Ltd.,4306769364.0,-2613495326.0,-1084106345.0,1689065410.0,2617703958.0
BSC,Bangladesh Shipping Corporation,565476559.0,-1753994038.0,63463080.9999999,,0.0
NCCBANK,National Credit and Commerce Bank PLC,-10431446625.0,-26588213943.0,41711171322.0,-10785553020.0,354106391.0
SUMITPOWER,Summit Power Ltd.,6168057878.0,-525484226.00000095,-10585612431.0,5089268040.0,1078789841.0
MTB,Mutual Trust Bank PLC,-8870054527.0,-34639452271.0,51371425308.0,-9646731900.0,776677375.0
UCB,United Commercial Bank PLC,22379248819.0,-58123560251.0,97630232304.0,,0.0
NBL,National Bank PLC,,,,,
BESTHLDNG,Best Holdings PLC,,,,,
HEIDELBCEM,Heidelberg Materials Bangladesh PLC,,,,,
