Symbol,Name,Price,Change %,Gap %,Volume,Volume Change %
1JANATAMF,First Janata Bank Mutual Fund Units,3.0,0.0,3.333333333333336,45641,-94.3647729475518
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,19.1,0.5263157894736916,2.1052631578947296,184214,-51.68930348193469
AAMRANET,aamra networks ltd,16.4,2.499999999999991,2.499999999999991,72570,-38.455145275370185
AAMRATECH,Aamra Technologies Limited,12.7,3.2520325203251916,6.5040650406503975,13330,-92.63202113664755
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,3.2,0.0,0.0,303245,-89.66145258900929
ABBANK,AB Bank PLC,4.7,0.0,0.0,415300,-80.18464116451138
ACFL,Aman Cotton Fibrous PLC,18.4,0.5464480874316823,0.5464480874316823,14970,-13.327929597035665
ACI,Advanced Chemical Industries PLC,191.1,1.3793103448275832,0.05305039787798107,27108,-61.324011984591245
ACIFORMULA,ACI Formulations PLC,141.7,0.7107320540156362,-0.2842928216062383,18114,10.377186033757846
ACMELAB,ACME Laboratories Ltd.,75.7,0.933333333333337,0.7999999999999924,41412,-85.9113146309766
ACMEPL,ACME Pesticides Ltd,24.7,0.816326530612242,0.816326530612242,3024413,-49.616385499296904
ACTIVEFINE,Active Fine Chemicals Ltd.,6.6,0.0,1.5151515151515234,32046,-81.09525523116221
ADNTEL,ADN Telecom Ltd.,61.2,0.4926108374384307,0.656814449917896,407012,-5.47574258575443
ADVENT,Advent Pharma Ltd.,13.7,1.481481481481476,0.740740740740738,55391,-58.82812035440328
AFCAGRO,AFC Agro Biotech Ltd.,6.8,0.0,-2.941176470588238,3816,-92.82733731814594
AFTABAUTO,Aftab Automobiles Ltd.,27.4,0.0,-0.7299270072992675,47999,-73.29308666017526
AGNISYSL,Agni Systems PLC,25.4,2.8340080971659893,-3.2388663967611366,2268816,137.68236188895804
AGRANINS,Agrani Insurance PLC,22.7,2.7149321266968225,1.3574660633484033,48827,-55.85781056476182
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,3.9,-2.500000000000002,-2.500000000000002,207032,-49.57228316997603
AIL,Alif Industries Ltd.,32.9,1.54320987654321,0.3086419753086464,490819,-74.41524308748313
AL-HAJTEX,Alhaj Textile Mills Limited,100.7,-2.137998056365406,0.09718172983478553,136008,-51.12864627126318
ALARABANK,Al-Arafah Islami Bank PLC,13.9,-2.112676056338021,-1.4084507042253471,95535,-73.44782254635201
ALIF,Alif Manufacturing Company Ltd.,5.5,-6.7796610169491585,-1.6949152542372972,1011712,-79.60517522871586
ALLTEX,Alltex Industries Limited,15.5,3.3333333333333335,0.0,375548,-32.510867865800954
AMANFEED,Aman Feed PLC,28.1,6.0377358490566095,1.5094339622641455,1348986,162.61673327869394
AMBEEPHA,Ambee Pharmaceuticals PLC,754.0,0.21265284423179462,1.2759170653907528,9,-98.51973684210526
AMCLPRAN,Agricultural Marketing Co. Ltd.,213.5,0.18770530267480323,-0.9385265133740028,10782,293.5036496350365
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,19.8,2.5906735751295336,0.5181347150258957,20611,48.537042375324305
ANWARGALV,Anwar Galvanizing Ltd.,98.4,0.6134969325153462,1.5337423312883436,203151,-68.85777662635495
AOL,Associated Oxygen Ltd,15.9,0.632911392405061,1.265822784810122,76676,-70.38130077218139
APEXFOODS,Apex Foods Limited,270.5,0.14809329877822186,2.554609403924464,21320,-72.857706654445
APEXFOOT,Apex Footwear Ltd.,196.0,1.0309278350515463,0.15463917525773782,32072,-68.32770437084001
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,360.2,0.4181767493727349,0.3624198494563734,76177,-64.5889309322152
APEXTANRY,Apex Tannery Limited.,97.6,3.8297872340425467,0.21276595744681154,126933,-65.39137926803666
APOLOISPAT,Appollo Ispat Complex Ltd.,3.4,0.0,0.0,474198,-41.05380137458839
ARAMIT,Aramit Limited,173.0,1.0514018691588851,0.0,2554,-63.870420144291984
ARAMITCEM,Aramit Cement Limited,11.1,2.7777777777777675,-2.7777777777777843,11828,130.97051357156806
ARGONDENIM,Argon Denims Ltd.,17.0,1.796407185628747,2.3952095808383365,191640,-42.64559322186076
ASIAINS,Asia Insurance PLC,38.8,0.2583979328165228,1.2919896640826873,75975,-65.28967530598538
ASIAPACINS,Asia Pacific General Insurance PLC,40.1,0.7537688442211162,1.256281407035176,273936,-45.3620708225129
ASIATICLAB,Asiatic Laboratories Ltd,108.2,0.7448789571694573,0.09310986964617719,809843,-74.54553398107078
ATLASBANG,Atlas Bangladesh Limited,74.2,1.089918256130786,0.0,17864,-24.991602284178704
AZIZPIPES,Aziz Pipes Limited.,65.4,6.688417618270813,0.3262642740619949,157395,29.261281977579763
BANGAS,Bangas Limited,133.0,1.1406844106463878,0.9885931558935447,61441,-47.55222071414548
BANKASIA,Bank Asia PLC,20.4,0.9900990099009866,0.0,132880,-86.14288842772673
BARKAPOWER,Baraka Power Ltd.,8.3,-1.1904761904761862,0.0,450792,-71.47230936007102
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,824.0,0.622786665038469,-0.4762486262058832,76,-71.10266159695817
BATBC,British American Tobacco Bangladesh Co Ltd,220.1,-0.31702898550725406,0.4981884057970989,54842,5.067341034925379
BAYLEASING,Bay Leasing and Investment Ltd.,4.8,2.1276595744680775,-2.1276595744680966,66015,-49.605716161438814
BBS,Bangladesh Building Systems PLC,12.1,2.542372881355923,1.6949152542372818,845011,-33.41184591780528
BBSCABLES,BBS Cables PLC,20.3,3.5714285714285676,1.0204081632653024,1383763,13.614385519238523
BDAUTOCA,Bangladesh Autocars Limited,232.2,0.6065857885615152,1.3864818024263381,72374,-65.07147476424427
BDCOM,BDCOM Online Ltd.,28.6,1.4184397163120643,0.0,350024,-41.32027044471156
BDFINANCE,Bangladesh Finance PLC,11.8,-3.2786885245901525,2.459016393442629,166721,-36.305983121492396
BDLAMPS,Bangladesh Lamps PLC,190.0,2.925243770314196,1.0292524377031451,80856,-24.309144012581445
BDTHAI,Bangladesh Thai Aluminium Ltd.,12.6,2.4390243902438935,0.8130081300812979,642175,-51.16874130287661
BDTHAIFOOD,BD Thai Food & Beverage Ltd.,21.3,-1.8433179723502238,0.4608294930875642,3553700,-58.02498562819069
BDWELDING,Bangladesh Welding Electrodes Ltd.,14.5,-1.3605442176870701,-0.6802721088435351,31171,-14.323016876477379
BEACHHATCH,Beach Hatchery Ltd,29.5,0.6825938566552877,0.0,70912,-46.88000958844592
BEACONPHAR,Beacon Pharmaceuticals PLC,101.7,0.29585798816567765,1.1834319526627106,59072,-71.72736279356936
BENGALWTL,Bengal Windsor Thermoplastics PLC,26.1,0.0,0.38314176245209913,952392,-40.11190439958598
BERGERPBL,Berger Paints Bangladesh Ltd.,1383.5,0.09405295905078531,-0.07958327304298483,1082,-29.23479398299542
BESTHLDNG,Best Holdings PLC,12.6,0.0,0.7936507936507908,93992,-32.48768154458347
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,0.0,15,1400.0
BGIC,Bangladesh General Insurance Company PLC,37.9,-0.2631578947368458,0.0,123826,-62.15633060720529
BIFC,Bangladesh Industrial Finance Company Ltd.,4.8,9.09090909090908,6.818181818181814,153911,4.786187457874061
BNICL,Bangladesh National Insurance Company Ltd,83.8,1.3301088270858457,0.0,664374,-27.720854937781365
BPML,Bashundhara Paper Mill Ltd.,26.7,1.1363636363636391,2.2727272727272783,10979,-66.77259245808365
BPPL,Baraka Patenga Power Ltd.,17.3,1.7647058823529453,0.0,3958855,-28.595455986748103
BRACBANK,BRAC Bank PLC,73.7,-0.27063599458728393,0.27063599458726467,407117,-56.77057506219744
