Symbol,Name,Revenue TTM,Revenue Growth TTM,Gross Profit TTM,Operating Income TTM,Net Income TTM,EBITDA TTM,EPS dil TTM,EPS dil growth TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,
AAMRANET,aamra networks ltd,,,,,,,,
AAMRATECH,Aamra Technologies Limited,,,,,,,,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,,
ABBANK,AB Bank PLC,-9211449521.0,-125.0181583726915,,-49487356111.0,-50228424769.0,,-56.0773,-8695.53954629062
ACFL,Aman Cotton Fibrous PLC,2163182769.0,-3.3516849134281665,118987573.0,88158619.0,16670632.999999998,133274650.00000001,0.1653,
ACI,Advanced Chemical Industries PLC,149650129563.0,16.8502491680757,37923116102.0,11250992609.0,115667766.0,13305826410.0,1.3173,
ACIFORMULA,ACI Formulations PLC,5296146309.0,12.254924386649366,1661617833.0,678149470.0,347153222.0,,7.3482,-3.164081546591463
ACMELAB,ACME Laboratories Ltd.,38857281447.0,15.99478709560345,16185605541.0,6823685850.0,2562937781.0,,12.1121,7.211393772018343
ACMEPL,ACME Pesticides Ltd,,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,,,,,,,,
ADNTEL,ADN Telecom Ltd.,1912741706.0,9.18466366618356,586752040.0,229923483.0,148108265.0,406475280.0,2.2909,-12.017052000921726
ADVENT,Advent Pharma Ltd.,516484321.0,2.1046099078647242,203244198.0,83000675.0,56559874.0,,0.6073,-3.234544295729779
AFCAGRO,AFC Agro Biotech Ltd.,,,,,,,,
AFTABAUTO,Aftab Automobiles Ltd.,814232155.0,29.875763855704555,176541721.0,58598978.0,-156822363.0,127010190.0,-1.4858,-27.821748107364066
AGNISYSL,Agni Systems PLC,689028274.0,-8.06123972860354,248178256.0,110781235.0,33137425.0,172285000.0,0.4567,-69.37365879828326
AGRANINS,Agrani Insurance PLC,236556091.0,-10.64658237889305,,74897183.0,35170046.0,,0.9857,-43.6195161013556
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,,
AIL,Alif Industries Ltd.,,,,,,,,
AL-HAJTEX,Alhaj Textile Mills Limited,,,,,,,,
ALARABANK,Al-Arafah Islami Bank PLC,50181219023.0,1.1267819076753123,,4123003581.0,482659042.0,,0.4191,-72.6899517789652
ALIF,Alif Manufacturing Company Ltd.,,,,,,,,
ALLTEX,Alltex Industries Limited,576920651.0,58.29933252700239,212499091.0,160005784.0,-4766793.0,230485780.0,-0.0852,-121.27872127872128
AMANFEED,Aman Feed PLC,8910933153.0,-19.160102737856484,1052666590.9999999,527155503.99999994,20807265.0,563448720.0,0.1589,-26.332869726471948
AMBEEPHA,Ambee Pharmaceuticals PLC,183570023.0,-18.880396807158977,88530213.0,5553937.0,6605394.0,,2.7522,-33.61794500723588
AMCLPRAN,Agricultural Marketing Co. Ltd.,3769174591.0,6.9001732531885125,716206577.0,273604115.0,38984084.0,302049170.0,4.873,-9.852745301169149
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,627203871.0,3.125969728761991,-106302860.0,-167652284.0,-225994239.0,-136500140.0,-7.4862,-485.31665363565287
AOL,Associated Oxygen Ltd,,,,,,,,
APEXFOODS,Apex Foods Limited,2532508152.0,25.98869707273351,231475240.0,73819140.0,40165863.0,89317420.0,7.0439,40.20222527417846
APEXFOOT,Apex Footwear Ltd.,18875481508.0,13.7761827100225,5323744921.0,1859718429.0,153815256.0,,7.8265,-19.1702727545003
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,4884389912.0,-10.26397281689721,364346140.000001,148939173.0,27590124.0,204808300.0,3.2845,-12.272970085470092
APEXTANRY,Apex Tannery Limited.,565913785.0,-22.246042876826554,54134085.999999896,21679632.0,-265429904.00000003,,-17.4167,-38.39253079062374
APOLOISPAT,Appollo Ispat Complex Ltd.,,,,,,,,
ARAMIT,Aramit Limited,,,,,,,,
ARAMITCEM,Aramit Cement Limited,,,,,,,,
ARGONDENIM,Argon Denims Ltd.,5415552921.0,-7.35014292019933,464063667.00000095,215976352.0,183918491.0,333809570.0,1.3242,-1.4805446023361377
ASIAINS,Asia Insurance PLC,514984235.0,-8.171816924167995,,144009483.0,95243498.0,,2.0235,109.27707105181508
ASIAPACINS,Asia Pacific General Insurance PLC,425347173.0,-1.2201901523164833,,87063051.0,64308530.00000001,,1.5185,-29.058631160943705
ASIATICLAB,Asiatic Laboratories Ltd,,,,,,,,
ATLASBANG,Atlas Bangladesh Limited,,,,,,,,
AZIZPIPES,Aziz Pipes Limited.,,,,,,,,
BANGAS,Bangas Limited,,,,,,,,
BANKASIA,Bank Asia PLC,58452781694.0,22.707816113109207,,6893330098.0,4325125904.0,,3.3724,505.56652899982055
BARKAPOWER,Baraka Power Ltd.,1265478234.0,-51.3944372482798,-157505046.0,-261740719.0,101862315.0,-136162260.0,0.4326,-1.0068649885583558
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,9317787959.0,0.2040720109057522,3796079399.0,635741333.0,179479194.0,1346891640.0,13.1198,-19.224494067958357
