Symbol,Name,Price,Change %,Volume,Relative Volume,Market Capital,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div Yield % TTM,Sector,Analyst Rating,Ticker,Currency
GP,Grameenphone Ltd.,298.6,-0.13377926421403924,2,5.130270390900952e-05,403064564575.0,13.692536971225497,21.8075,-16.663800581624187,9.38023450586265,Communications,Neutral,DSEBD:GP,BDT
SQURPHARMA,Square Pharmaceuticals PLC,219.0,0.36663611365720045,13127,0.07949061093987471,193512253554.0,8.259818434858698,26.5139,16.131646146231642,5.03893724232707,Health technology,StrongBuy,DSEBD:SQURPHARMA,BDT
ROBI,Robi Axiata PLc,29.9,1.0135135135135038,513282,0.10564740263246006,152947650676.0,17.969829917663322,1.6639,85.952168082253,5.13698630136986,Communications,StrongBuy,DSEBD:ROBI,BDT
BATBC,British American Tobacco Bangladesh Co Ltd,278.5,-0.3221188260558258,28093,0.3383194700187545,150498006592.0,12.121871599564743,22.975,-29.649272149379318,10.7642626480086,Consumer non-durables,Buy,DSEBD:BATBC,BDT
WALTONHIL,Walton Hi-Tech Industries PLC,472.5,-0.12682308180089255,8574,0.13146657139659082,143557740717.0,11.090195562982922,42.6052,-0.345007449821868,7.38552437223043,Consumer durables,Neutral,DSEBD:WALTONHIL,BDT
BRACBANK,BRAC Bank PLC,71.4,2.4390243902439064,46085,0.04759015771307016,139165740745.0,10.038664323374341,7.1125,45.482623903127504,1.58957224606581,Finance,Buy,DSEBD:BRACBANK,BDT
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,1,0.013227513227513239,103850264528.0,,-4.1965,-832.885085574572,0.0,Process industries,Neutral,DSEBD:BEXIMCO,BDT
MARICO,Marico Bangladesh Limited.,2800.0,0.6832074793239842,25,0.008234247883798293,88492951538.0,14.397626448439787,194.4765,22.439786343512488,12.245043249208,Consumer non-durables,Buy,DSEBD:MARICO,BDT
UPGDCL,United Power Generation & Distribution Co. Ltd.,144.7,0.6258692628650746,1506,0.034785822352084966,82838447896.0,7.194960047336571,20.1113,55.57111252069248,4.19874037788663,Utilities,Neutral,DSEBD:UPGDCL,BDT
BERGERPBL,Berger Paints Bangladesh Ltd.,1415.0,0.0,2189,0.45055985509632807,70177371059.0,20.40201338314404,69.3559,1.5366078970753978,3.67364075292142,Process industries,StrongBuy,DSEBD:BERGERPBL,BDT
ISLAMIBANK,Islami Bank Bangladesh PLC,41.4,0.24213075060533032,6970,0.014353282680180032,65687615276.0,,,,2.45098039215686,Finance,Neutral,DSEBD:ISLAMIBANK,BDT
LHB,LafargeHolcim Bangladesh PLC,54.9,1.2915129151291433,59670,0.10648296941688286,61088246177.0,17.016923935279895,3.2262,-21.24112003515368,7.22433460076046,Non-energy minerals,StrongBuy,DSEBD:LHB,BDT
RENATA,Renata PLC,486.0,0.7462686567164226,4855,0.1647639345152445,55146073423.0,19.810051767007703,24.533,22.658867056647168,1.9134775374376,Health technology,Neutral,DSEBD:RENATA,BDT
BXPHARMA,Beximco Pharmaceuticals Limited,120.6,2.5510204081632653,88165,0.25368010956886194,51213669416.0,8.467911810139025,14.242,29.230713391285416,3.48432055749129,Health technology,StrongBuy,DSEBD:BXPHARMA,BDT
UNILEVERCL,Unilever Consumer Care Limited,2388.3,-0.4999375078115235,256,1.705529646902049,46264148105.0,72.47331144436825,32.9542,-37.006076848526085,2.16639586718327,Health technology,Neutral,DSEBD:UNILEVERCL,BDT
ICB,Investment Corporation of Bangladesh,51.8,0.19342359767890582,13334,0.0494966810422589,44143479900.0,214.13807358412566,0.2419,,0.392927308447937,Finance,Neutral,DSEBD:ICB,BDT
EBL,Eastern Bank PLC,25.2,0.7999999999999973,7417,0.01311839470609012,39895333862.0,5.833603407565165,4.3198,-0.3667227898609278,5.9574492,Finance,StrongBuy,DSEBD:EBL,BDT
DUTCHBANGL,Dutch-Bangla Bank PLC,40.6,-0.49019607843136215,231,0.0016799486852037972,39151394989.0,10.46014324728191,3.8814,-50.95402966969091,2.04060740740741,Finance,Neutral,DSEBD:DUTCHBANGL,BDT
CITYBANK,City Bank PLC,25.5,1.1904761904761934,306636,0.08170538392585479,37726308605.0,3.6292216387003116,7.0263,63.558276496194054,4.48028629032258,Finance,Buy,DSEBD:CITYBANK,BDT
PUBALIBANK,Pubali Bank PLC,29.2,2.4561403508771904,3209,0.013463156931994505,36960748234.0,4.102218288588246,7.1181,9.16828980261645,3.47765492957747,Finance,Neutral,DSEBD:PUBALIBANK,BDT
PRIMEBANK,Prime Bank PLC,28.3,-0.3521126760563305,58288,0.1204175112777792,32728655134.0,3.9521275852919406,7.1607,45.232735016732576,6.05431560283688,Finance,StrongBuy,DSEBD:PRIMEBANK,BDT
OLYMPIC,Olympic Industries PLC.,158.0,1.282051282051282,3872,0.030424823890401485,31190464233.0,17.06152949052977,9.2606,10.66418106641811,0.641025641025641,Consumer non-durables,Neutral,DSEBD:OLYMPIC,BDT
MJLBD,MJL Bangladesh PLC,98.5,0.5102040816326531,2757,0.008158569205351808,30598247033.0,9.612757153452785,10.2468,4.276148413489929,5.38302277432712,Process industries,Neutral,DSEBD:MJLBD,BDT
POWERGRID,Power Grid Co. of Bangladesh Ltd.,33.5,0.0,3048,0.006390761072968527,30338393324.0,,-7.6473,-234.1913210680418,0.0,Utilities,Neutral,DSEBD:POWERGRID,BDT
BEACONPHAR,Beacon Pharmaceuticals PLC,126.4,0.7171314741035901,26934,0.07246885687602563,28251300705.0,,,,1.63532297628782,Health technology,Neutral,DSEBD:BEACONPHAR,BDT
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,87.1,0.4613610149942231,1200,0.038629800959950555,25976862396.0,4.943582990896088,17.6188,-10.4139442413395,4.02298850574713,Non-energy minerals,Neutral,DSEBD:BSRMLTD,BDT
BSCPLC,Bangladesh Submarine Cables PLC,139.2,0.7965242577842103,4360,0.024598386210460583,25568210071.0,17.677088360043683,7.8746,-32.468891232944856,2.92611558156547,Communications,StrongBuy,DSEBD:BSCPLC,BDT
BSRMSTEEL,BSRM Steels Limited,65.5,0.15290519877674968,10282,0.262984912001596,24474508130.0,5.554895941109622,11.7914,-2.8026443774007936,4.91551459293395,Non-energy minerals,Neutral,DSEBD:BSRMSTEEL,BDT
BANKASIA,Bank Asia PLC,18.2,1.1111111111111072,6273,0.009368675527953169,22828455565.0,8.063444242612201,2.2571,43.08989476353493,5.10725280898882,Finance,Neutral,DSEBD:BANKASIA,BDT
MPETROLEUM,Meghna Petroleum Limited,208.5,-0.23923444976076555,7546,0.5101578609336443,22379091926.0,3.6258284191909795,57.5041,42.024006520289475,8.22050290135396,Distribution services,Neutral,DSEBD:MPETROLEUM,BDT
UTTARABANK,Uttara Bank PLC,21.5,0.0,105291,0.0877951185410457,20763753231.0,4.5227927719460626,4.7537,18.054486303921333,5.92309345794393,Finance,Neutral,DSEBD:UTTARABANK,BDT
KOHINOOR,Kohinoor Chemical Co. (Bangladesh) Ltd.,558.0,-0.3393463118413962,130,0.007225634327321239,20648442410.0,34.944670937682005,15.9681,39.84043857498162,0.816060143626571,Consumer non-durables,Neutral,DSEBD:KOHINOOR,BDT
JAMUNAOIL,Jamuna Oil Company Limited,187.0,0.05350454788656732,408,0.01581769333059341,20516890774.0,3.7361816223819257,50.0511,36.55426992134318,8.07319698600646,Energy minerals,Neutral,DSEBD:JAMUNAOIL,BDT
TITASGAS,Titas Gas Transmission and Distribution PLC,20.8,0.48309178743962045,1211,0.00680280133853964,20180124379.0,,-15.43,-351.79047228647556,2.45098039215686,Utilities,Neutral,DSEBD:TITASGAS,BDT
JAMUNABANK,Jamuna Bank PLC,21.5,0.4672897196261749,33717,0.01679125856551148,19820024699.0,7.139773519742304,3.0113,-5.655116235353102,7.312336492891,Finance,Neutral,DSEBD:JAMUNABANK,BDT
SHAHJABANK,Shahjalal Islami Bank PLC,18.0,-0.5524861878453117,1165,0.008813398787003993,19810836382.0,12.845215157353886,1.4013,-58.340517882094126,5.61797752808989,Finance,Neutral,DSEBD:SHAHJABANK,BDT
ALARABANK,Al-Arafah Islami Bank PLC,16.8,-0.5917159763313483,53066,0.6596687857549536,19463590515.0,33.46613545816733,0.502,-78.43827849841078,5.63538461538462,Finance,Neutral,DSEBD:ALARABANK,BDT
PADMAOIL,Padma Oil PLC,199.0,0.35300050428642893,10,0.0008326533331112344,19459908362.0,3.564889954175937,55.8222,49.563544585970206,7.06713780918728,Distribution services,Neutral,DSEBD:PADMAOIL,BDT
BESTHLDNG,Best Holdings PLC,18.2,1.1111111111111072,153554,0.14613899507337405,18536530250.0,35.12157468159012,0.5182,,5.71428571428572,Industrial services,Neutral,DSEBD:BESTHLDNG,BDT
TRUSTBANK,Trust Bank PLC,18.2,0.552486187845292,8810,0.018614738097396284,17794023186.0,4.8307896483078965,3.7675,-12.694366556206976,3.62569273743017,Finance,Neutral,DSEBD:TRUSTBANK,BDT
IDLC,IDLC Finance PLC.,40.9,0.7389162561576285,5742,0.015622262295117647,17197446564.0,7.6357254872675675,5.3564,51.42194832362752,3.62581480714107,Finance,Buy,DSEBD:IDLC,BDT
BSC,Bangladesh Shipping Corporation,116.8,2.9074889867841387,397936,0.6898011406430847,17038164557.0,5.92463338794682,19.7143,33.99329839800449,2.23813786929275,Transportation,Neutral,DSEBD:BSC,BDT
ACMELAB,ACME Laboratories Ltd.,79.3,1.0191082802547733,15234,0.11461744902818938,16356812043.0,6.982231848838643,11.3574,-0.7090090483892056,4.52781371280724,Health technology,Neutral,DSEBD:ACMELAB,BDT
UCB,United Commercial Bank PLC,10.5,1.941747572815527,109897,0.020278316138610926,16278946472.0,,-0.6503,-139.03127063201487,4.53514285714286,Finance,Neutral,DSEBD:UCB,BDT
SUMITPOWER,Summit Power Ltd.,15.2,0.0,12736,0.009522777690171614,16018157959.0,,,,6.66666666666667,Utilities,Neutral,DSEBD:SUMITPOWER,BDT
RECKITTBEN,Reckitt Benckiser (Bangladesh) PLC,3369.0,-0.12154990957872311,39,0.048375093029025054,15948292409.0,21.11934404032046,159.522,-0.848852957684151,9.86578970758155,Consumer non-durables,Neutral,DSEBD:RECKITTBEN,BDT
ACI,Advanced Chemical Industries PLC,179.5,0.4476776720761116,20,0.0009734539118245463,15651873538.0,,-17.827,-54.13946651679565,0.973756998880179,Health technology,Neutral,DSEBD:ACI,BDT
KBPPWBIL,Khan Brothers PP Woven Bag Industries Ltd,155.0,0.7147498375568514,217288,0.13611806303760782,14976796175.0,736.6920152091254,0.2104,,0.0654878847413229,Process industries,Neutral,DSEBD:KBPPWBIL,BDT
HEIDELBCEM,Heidelberg Materials Bangladesh PLC,246.1,0.6132461161079313,50,0.00563488217461373,13815128597.0,52.750032151584,4.6654,-34.51978273379276,1.02249488752556,Non-energy minerals,Neutral,DSEBD:HEIDELBCEM,BDT
LINDEBD,Linde Bangladesh Limited,905.0,-0.17648356496801487,1988,0.30371083306598223,13772543254.0,,,,49.7237569060773,Process industries,Neutral,DSEBD:LINDEBD,BDT
MTB,Mutual Trust Bank PLC,12.6,0.0,200,0.0003999672026893795,13517897034.0,4.228613618820686,2.9797,10.449254948476531,7.27272,Finance,Neutral,DSEBD:MTB,BDT
NCCBANK,National Credit and Commerce Bank PLC,12.2,0.8264462809917326,122927,0.06051982645012848,13325077148.0,4.936473254026057,2.4714,88.31149039926852,10.8333333333333,Finance,Neutral,DSEBD:NCCBANK,BDT
MIDLANDBNK,Midland Bank PLC,20.1,2.551020408163265,237204,0.08429551019903385,12913653256.0,20.451770451770454,0.9828,-45.39089848308052,1.4860306122449,Finance,Neutral,DSEBD:MIDLANDBNK,BDT
SOUTHEASTB,Southeast Bank PLC,9.5,0.0,147559,0.03741275790789766,12839005588.0,23.18769831584086,0.4097,-63.77862257978959,6.00958333333333,Finance,Neutral,DSEBD:SOUTHEASTB,BDT
UNIQUEHRL,Unique Hotel & Resorts PLC,41.9,1.2077294685990339,5565,0.022349711742936144,12129279973.0,7.181790134037229,5.8342,1.2003469210754618,3.88349514563107,Consumer services,Neutral,DSEBD:UNIQUEHRL,BDT
