Symbol,Name,Price,Change %,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,Perf % All Time,Volatility 1W,Volatility 1M
1JANATAMF,First Janata Bank Mutual Fund Units,2.6,-3.703703703703707,-7.1428571428571335,0.0,4.0000000000000036,-21.212121212121204,0.0,-16.129032258064516,-53.57142857142856,-31.100000261819993,-52.17757754455923,6.752136752136746,6.752764200838405
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,17.7,-2.209944751381227,-2.7472527472527473,-10.152284263959391,-4.324324324324328,-29.200000000000003,-11.500000000000004,-13.235294117647056,9.937888198757749,90.32258064516127,-42.156862745098046,4.088614037766583,3.2292237745317207
AAMRANET,aamra networks ltd,15.8,-2.469135802469127,-5.9523809523809526,-1.2499999999999956,-11.731843575418983,-31.89655172413793,-11.235955056179774,-34.43983402489627,-49.07265117337885,-73.77398534571103,-73.77398534571103,3.237415047336119,3.6604690245281017
AAMRATECH,Aamra Technologies Limited,12.0,0.0,-2.439024390243908,6.194690265486719,12.14953271028038,-23.076923076923073,-2.439024390243908,-22.077922077922082,-50.69767459785109,-38.16666674232662,-59.19000008820742,2.9141897615424366,4.753859406901679
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,2.8,0.0,-3.448275862068969,7.692307692307681,3.7037037037036904,-17.647058823529413,3.7037037037036904,-12.50000000000001,-50.87719298245615,-24.271319569497816,-58.23331467685111,7.222222222222222,7.360484191780824
ABBANK,AB Bank PLC,6.3,-4.545454545454543,-3.0769230769230798,36.956521739130444,53.658536585365866,6.7796610169491425,53.658536585365866,-16.000000000000004,-32.42534984957036,-59.18273135340927,-72.62495688007047,8.841977089343198,6.798664247142726
ACFL,Aman Cotton Fibrous PLC,17.1,-2.840909090909091,-4.999999999999992,-2.2857142857142776,-6.557377049180324,-16.58536585365853,-4.999999999999992,-4.999999999999992,-44.838709677419345,-71.5,-71.5,2.251344922907032,3.5480103355932275
ACI,Advanced Chemical Industries PLC,208.0,-1.3750592697961146,-5.454545454545454,1.068999028182696,12.311015118790502,11.827956989247312,6.666666666666667,24.550898203592816,-1.6986301841170919,-29.787650378085466,233.99809616717516,3.2901142514867927,3.420484460687381
ACIFORMULA,ACI Formulations PLC,134.8,-2.7417027417027295,-2.6011560693641576,-1.0279001468428615,12.05320033250209,-11.54855643044619,4.496124031007761,4.984423676012465,16.97520690400827,-22.48630867806681,95.4972380578039,2.677719709741056,3.552854831617202
ACMELAB,ACME Laboratories Ltd.,76.8,-1.4120667522464807,-4.0000000000000036,1.7218543046357577,9.714285714285712,-6.682867557715674,7.713884992987378,3.5040431266846284,9.557774607703285,-43.111111111111114,-43.111111111111114,2.4081590375006887,2.5599201736640795
ACMEPL,ACME Pesticides Ltd,16.7,-1.7647058823529453,2.453987730061341,5.031446540880496,-2.33918128654972,-4.022988505747123,5.031446540880496,19.28571428571428,51.818181818181806,51.818181818181806,51.818181818181806,4.055192825396285,3.9044248920867943
ACTIVEFINE,Active Fine Chemicals Ltd.,6.5,-4.411764705882351,0.0,14.035087719298243,6.557377049180334,-30.85106382978724,20.370370370370363,-32.291666666666664,-63.888888888888886,-76.70036757403332,-77.95652158425104,5.735379048811885,5.5897330113843955
ADNTEL,ADN Telecom Ltd.,55.6,-1.940035273368609,-12.164296998420214,-11.464968152866236,-3.972366148531947,-31.611316113161127,-3.972366148531947,-36.23853211009174,14.639175257731962,37.283950617283956,37.283950617283956,4.615001887670311,3.5360751311373138
ADVENT,Advent Pharma Ltd.,13.0,-1.5151515151515098,-7.142857142857143,-7.142857142857143,-3.7037037037037037,-23.076923076923073,-2.985074626865674,-23.529411764705884,-41.84210545446676,-64.70188022337129,-64.70188022337129,3.9283125449736827,3.2968272998161336
AFCAGRO,AFC Agro Biotech Ltd.,6.8,-1.4492753623188481,-2.85714285714286,25.925925925925913,41.66666666666667,-20.930232558139533,35.99999999999999,-36.44859813084112,-59.99999999999999,-80.76571420762308,-70.32309996951291,7.362865977020264,7.32578031693231
AFTABAUTO,Aftab Automobiles Ltd.,27.0,-2.5270758122743655,-6.896551724137931,-11.764705882352944,-20.118343195266267,-27.807486631016037,-21.052631578947373,-22.41379310344827,21.00609815788983,-41.973683917595224,-60.309999676566186,3.4648277714341633,4.05011713819728
AGNISYSL,Agni Systems PLC,19.9,-1.970443349753705,-10.360360360360364,-5.687203791469208,-4.784688995215311,-30.902777777777786,-4.326923076923087,-27.106227106227113,8.74316939890709,15.183688370903864,7.374624653519204,3.646855809203002,3.2825736541067196
AGRANINS,Agrani Insurance PLC,20.2,-5.164319248826297,-13.304721030042924,-16.182572614107894,-6.0465116279069795,-30.584192439862548,-15.126050420168072,-7.360327251386708,-29.678483813942577,105.90551932078814,22.43629297521612,4.971212317026732,3.563441456995125
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,3.6,0.0,-5.2631578947368345,2.85714285714286,9.0909090909091,-19.999999999999996,5.882352941176476,-47.826086956521735,-60.439560439560445,-50.0,-53.24675324675324,5.555555555555554,5.685653505466195
AIL,Alif Industries Ltd.,27.8,-3.806228373702415,-4.137931034482756,2.9629629629629655,-36.38443935926774,-53.04054054054054,-31.6953316953317,-63.564875491481,16.71755714499155,-74.8303077638206,-74.8303077638206,6.476490632567009,4.422452062588164
AL-HAJTEX,Alhaj Textile Mills Limited,122.3,-1.0517799352750787,-5.559845559845561,-2.1600000000000024,29.494117776552944,0.6737805884786533,20.338921400769564,2.8691589813738347,339.1090430553641,132.54471381308377,613.0685243890908,4.397000561250759,4.947172966631241
ALARABANK,Al-Arafah Islami Bank PLC,16.6,-1.1904761904761862,2.469135802469149,-7.77777777777777,1.2195121951219687,-1.7751479289940661,10.666666666666677,-21.327014218009477,-14.510000096176249,39.23402559783507,-7.228988954981297,2.7998037884947453,4.431643187535974
ALIF,Alif Manufacturing Company Ltd.,4.7,-5.9999999999999964,4.444444444444448,23.6842105263158,14.63414634146343,-20.33898305084746,17.500000000000004,-35.61643835616437,-38.1578947368421,-60.30168412494848,-72.16802857069591,9.887099487006978,6.870286412170429
ALLTEX,Alltex Industries Limited,13.7,-0.7246376811594305,-8.66666666666667,-1.438848920863317,0.0,4.580152671755722,2.2388059701492455,4.580152671755722,39.79591836734692,-48.88059701492538,79.28395000639048,4.803680021333461,4.936583646161373
AMANFEED,Aman Feed PLC,22.5,-1.7467248908296884,-7.407407407407409,-5.063291139240503,-2.1739130434782608,-20.494699646643113,-2.1739130434782608,-15.730337078651683,-29.90654205607477,-45.185379850263104,-32.904508392903026,3.1567998009207394,2.7760597984343574
AMBEEPHA,Ambee Pharmaceuticals PLC,741.1,-0.6568364611260022,-3.75324675324675,-1.7629904559915104,-1.0415275737748637,-11.341069505921757,2.930555555555559,-0.05394470667565438,69.51052150045747,155.63987581924806,296.48684955529296,1.8570852667700861,2.418237857815258
AMCLPRAN,Agricultural Marketing Co. Ltd.,202.9,-1.409135082604473,-6.064814814814813,-2.451923076923074,-1.409135082604473,-18.382944489139177,0.29658922392486126,-0.5879470847623658,2.7341772151898764,4.318766066838049,64.95934959349594,3.1300935809061743,2.6561918508237152
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,18.4,-0.5405405405405482,0.0,-3.157894736842113,-5.6410256410256485,-22.033898305084755,-11.538461538461549,-26.984126984126988,-50.93333333333334,-21.36752136752137,-8.000000000000007,5.659239936026983,5.680316858918148
ANWARGALV,Anwar Galvanizing Ltd.,90.6,-1.3071895424836633,-10.2970297029703,3.4246575342465757,11.029411764705882,10.21897810218977,4.618937644341802,22.59810554803787,34.88833639790897,173.37793723501815,1021.1749931748473,4.536774577678528,5.259906076922448
AOL,Associated Oxygen Ltd,15.2,-1.2987012987013056,-5.000000000000004,7.80141843971631,7.042253521126761,-13.142857142857146,0.0,-10.059171597633133,-60.03931207338172,17.100799365032618,17.100799365032618,6.0828285339513455,5.1648921550889275
APEXFOODS,Apex Foods Limited,214.4,-0.8325624421831559,-8.765957446808509,-9.535864978902952,0.6100422336931072,-14.547628537265842,-12.774613506916193,1.7560512577123955,78.5179017485429,85.62770562770562,199.44134078212295,3.9945626297180397,3.5372206249995086
APEXFOOT,Apex Footwear Ltd.,177.0,-2.9605263157894766,-6.349206349206349,-5.800957956359768,-2.425578831312021,-6.487743026204565,-1.2827663134411664,6.780888030888037,40.99769145340108,-4.859096199185368,32.821278927838875,2.6732914162153962,2.3258791800540823
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,182.0,-1.5151515151515214,-10.167818361303059,-16.513761467889907,12.345679012345679,22.724207687120693,1.1111111111111112,87.62886597938144,39.25019127773528,88.01652892561984,160.0,5.365410377756128,4.589990681729118
APEXTANRY,Apex Tannery Limited.,64.0,0.4709576138147522,-8.309455587392547,-10.614525139664797,10.344827586206897,-19.293820933165193,7.382550335570468,-9.090909090909099,-40.1309635173059,-44.684528954191876,-12.44870041039671,4.030054167176514,3.582000817370413
APOLOISPAT,Appollo Ispat Complex Ltd.,3.3,-8.333333333333341,22.222222222222207,73.6842105263158,49.999999999999986,13.79310344827586,94.11764705882354,-19.51219512195122,-54.16666666666667,-77.40225287473011,-86.45198591382432,6.940943876427749,7.332099361233085
ARAMIT,Aramit Limited,161.0,-0.9840098400983975,-5.349794238683124,-4.902539870053166,-16.014606155451222,-34.49959316517494,-11.392405063291134,-5.294117647058823,-34.232026143790854,-66.10526315789474,-24.056603773584907,4.81678013138362,3.463305210119427
ARAMITCEM,Aramit Cement Limited,10.9,-0.909090909090906,0.0,-7.6271186440677985,21.111111111111114,-21.58273381294964,23.86363636363636,-25.850340136054417,-60.93189964157706,-69.38202247191012,-69.83963877051569,6.162243266282797,6.9167689154181
ARGONDENIM,Argon Denims Ltd.,16.4,-1.2048192771084507,-5.74712643678161,-5.2023121387283355,-4.651162790697679,-18.811881188118814,-6.818181818181833,-5.2023121387283355,-9.864062684285752,-11.388191638830099,-57.46633181749375,2.88324001136225,2.3372667949242114
ASIAINS,Asia Insurance PLC,34.6,-4.419889502762434,-15.609756097560973,-9.186351706036746,31.06060606060607,11.97411003236247,25.818181818181824,28.148148148148152,-65.29588766298896,147.14285714285714,4.697406585960765,5.9252731741306635,5.710214837854949
ASIAPACINS,Asia Pacific General Insurance PLC,34.0,-2.5787965616045803,-10.526315789473685,-12.596401028277633,11.111111111111107,-9.333333333333334,7.594936708860755,12.211221122112208,-44.17077175697865,132.8767123287671,0.29498525073746734,4.636885536567249,5.901645280805724
ASIATICLAB,Asiatic Laboratories Ltd,64.5,1.8957345971564028,10.824742268041232,2.218700475435814,27.47035573122529,22.390891840607207,33.81742738589211,72.45989304812835,12.565445026178015,12.565445026178015,12.565445026178015,5.926313484589614,6.61962115702159
ATLASBANG,Atlas Bangladesh Limited,57.1,-6.546644844517186,9.80769230769231,10.019267822736035,10.019267822736035,-9.651898734177216,0.7054673721340362,9.596928982725528,-47.806215722120655,-37.94221553935696,-49.236574452956596,7.405468969888385,4.87410747990955
AZIZPIPES,Aziz Pipes Limited.,46.2,-3.7499999999999942,-13.320825515947456,12.682926829268299,2.666666666666673,-19.371727748691093,-1.28205128205127,-16.90647482014388,-52.61538461538461,58.70111396176365,197.12375217011763,8.764587298556272,6.234253821402035
BANGAS,Bangas Limited,111.2,-3.5559410234171676,-11.039999999999997,-8.702791461412147,3.153988868274588,-16.390977443609017,-14.723926380368098,11.200000000000003,-4.875962360992303,-29.736263769465285,-20.690755283962144,5.153107180388225,3.837226188203387
BANKASIA,Bank Asia PLC,20.7,-2.8169014084507107,-4.166666666666676,1.9704433497536875,12.500000000000004,8.947368421052628,12.500000000000004,33.15789461224992,33.941176336647054,92.87161996865214,64.12283123313803,7.179633779465059,3.90589761017418
BARKAPOWER,Baraka Power Ltd.,7.3,-3.947368421052629,-8.750000000000002,-3.9473684210526296,4.285714285714283,-41.6,7.352941176470589,-29.126213592233018,-74.29577464788733,-66.28900256248514,-67.82825957067861,3.9641108711043813,3.859185035662783
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,842.0,2.3086269744835968,3.6945812807881775,2.5578562728380025,3.1989214364505485,-3.7824248657296335,4.713344111428924,6.326556383381742,21.465666474321978,-29.833333333333332,63.49514563106796,2.679686671852501,2.317437755972317
BATBC,British American Tobacco Bangladesh Co Ltd,214.8,-5.291005291005291,-20.44444444444444,-18.94339622641509,-13.352158128277528,-26.68941979522184,-13.387096774193544,-34.512195121951216,-63.46938775510204,-28.926469167287266,130.69212871610162,5.282575792276844,2.985368300527636
BAYLEASING,Bay Leasing and Investment Ltd.,5.1,-7.27272727272728,-3.773584905660381,30.769230769230763,64.51612903225805,10.869565217391305,54.54545454545454,-17.741935483870975,-78.40725801053426,-73.19386625453592,-80.56358783390861,8.581523632142074,8.085906623837666
BBS,Bangladesh Building Systems PLC,9.9,-2.9411764705882253,-3.883495145631071,7.608695652173926,8.791208791208799,-22.656250000000004,7.608695652173926,-16.10169491525424,-39.263803680981596,-58.303234305407315,-54.342041380003444,4.5434662940880015,4.949108506350239
BBSCABLES,BBS Cables PLC,15.4,-4.938271604938265,-6.666666666666665,6.944444444444445,6.944444444444445,-31.249999999999993,1.3157894736842175,-14.91712707182321,-69.40810795349503,-46.726627300550064,-46.726627300550064,4.88080528384609,4.561955445164717
BDAUTOCA,Bangladesh Autocars Limited,132.6,-4.052098408104193,-11.600000000000003,4.4094488188976335,7.455429497568872,-2.428256070640185,4.4094488188976335,34.074823053589476,-9.979633401222008,529.1313769966835,514.2028361093877,4.180178942313631,4.15652720715506
BDCOM,BDCOM Online Ltd.,25.6,-1.1583011583011473,-8.571428571428566,0.3921568627451036,-0.3891050583657505,-14.121405550506786,-1.538461538461533,7.520000268800005,31.274419256596573,55.70377786150248,112.88350463374589,4.217419500366545,3.51663944825496
BDFINANCE,Bangladesh Finance PLC,13.0,-7.142857142857142,6.557377049180334,-1.5151515151515098,-5.797101449275367,26.213592233009702,0.0,4.0,-56.656380156535185,34.50198507651641,-19.985043653599703,8.972139242449353,5.535393174830308
BDLAMPS,Bangladesh Lamps PLC,136.3,1.4892032762472076,-5.017421602787448,-4.014084507042246,9.919354838709687,-18.383233532934128,1.3382899628252873,11.083944580277105,-4.429226810342297,-34.30585590841116,21.53416656943934,6.733959804310144,5.060695252271299
BDTHAI,Bangladesh Thai Aluminium Ltd.,10.8,-0.9174311926605472,-2.7027027027026933,-5.263157894736839,-6.086956521739125,-24.999999999999996,-3.571428571428559,-27.51677852348993,-55.18672199170124,-45.22075494053098,-32.21068430982362,4.811589792765143,4.286001586994792
BDTHAIFOOD,BD Thai Food & Beverage Ltd.,16.6,-0.5988023952095681,-2.35294117647058,5.06329113924051,-3.4883720930232434,0.0,15.277777777777786,5.732484076433135,37.19008264462811,37.19008264462811,37.19008264462811,3.981946895810718,5.202984404222141
BDWELDING,Bangladesh Welding Electrodes Ltd.,15.6,-1.2658227848101333,-14.285714285714283,-6.024096385542179,32.20338983050846,54.45544554455446,-13.812154696132605,32.20338983050846,-11.363636363636372,-7.859649126578849,-28.99656634449671,10.334981083926227,8.608950820072186
BEACHHATCH,Beach Hatchery Ltd,29.6,-4.207119741100315,-7.499999999999996,-3.5830618892508075,-40.08097165991902,-47.610619469026545,-36.75213675213674,-74.37229437229438,114.4927536231884,125.95419847328245,31.139240805127386,4.349345415361927,4.091856097600314
BEACONPHAR,Beacon Pharmaceuticals PLC,98.5,-3.431372549019608,-8.796296296296296,-8.372093023255815,-7.424812030075193,-23.5248447204969,-5.921680993314233,-21.388667198723063,-17.916666666666668,435.32608695652175,539.6103896103896,3.3840904578781923,3.0776050382843407
BENGALWTL,Bengal Windsor Thermoplastics PLC,17.1,-2.840909090909091,-6.043956043956032,-2.840909090909091,-2.840909090909091,-23.318385650224208,-1.7241379310344667,-9.52380952380951,-1.1560693641618456,-61.768292719448986,-65.45742911721082,4.854297639555974,3.348564266072688
BERGERPBL,Berger Paints Bangladesh Ltd.,1391.8,-1.1575882394716253,-3.010452961672477,-2.329824561403512,-1.5003538570417583,-6.276094276094279,0.7820419985517708,-22.2892238972641,-16.458583433373352,44.67775467775467,430.20952380952383,2.3576573726026524,1.5886488317085588
BESTHLDNG,Best Holdings PLC,12.7,-1.5503875968992331,-5.925925925925931,7.627118644067784,-8.633093525179865,-37.745098039215684,-5.925925925925931,-30.60109289617487,-56.802721088435376,-56.802721088435376,-56.802721088435376,3.4746437945256874,4.0617666072620695
BEXIMCO,Bangladesh Export Import Company Ltd.,110.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.62500034406249,410.70623704992374,177.23452799102677,-2.220446049250313e-16,8.968520370800093e-16
BGIC,Bangladesh General Insurance Company PLC,31.6,-1.863354037267085,-5.105105105105093,-9.455587392550136,3.2679738562091503,-14.824797843665767,2.265372168284799,-4.242424242424238,-16.180371352785148,95.06172839506175,0.9584664536741236,2.5705488901844413,2.9865659048362856
BIFC,Bangladesh Industrial Finance Company Ltd.,5.9,-9.230769230769226,-1.6666666666666607,168.18181818181816,247.05882352941177,43.90243902439026,247.05882352941177,-22.36842105263157,37.20930232558141,-40.99999999999999,-71.03808913435499,10.334920953933484,4.679547016960287
BNICL,Bangladesh National Insurance Company Ltd,49.8,0.20120724346075317,-9.618874773139755,-7.262569832402245,13.958810068649871,9.450549450549444,10.66666666666666,26.0759493670886,-23.619631901840496,34.59459459459459,34.59459459459459,4.7065878603320135,4.047148586933442
BPML,Bashundhara Paper Mill Ltd.,27.1,-2.8673835125447926,2.2641509433962317,12.916666666666671,8.83534136546186,-27.925531914893615,4.633204633204644,-25.549450549450544,-37.41339491916858,-82.51612903225806,-82.51612903225806,5.619229467178629,5.083440168287675
BPPL,Baraka Patenga Power Ltd.,13.5,-3.571428571428571,-11.764705882352944,-16.14906832298137,-9.395973154362418,-13.46153846153846,-9.395973154362418,22.727272727272727,-57.68025078369905,-57.68025078369905,-57.68025078369905,4.580066467758994,3.3207964840865833
BRACBANK,BRAC Bank PLC,74.2,-3.8860103626943006,-14.712643678160918,-3.8860103626943006,13.455657492354735,0.2702702702702741,17.40506329113924,60.52884595318511,163.3004878820358,383.7886624648556,583.9917934738365,4.8038914614004025,3.8919471967762935
BSC,Bangladesh Shipping Corporation,106.7,-2.1100917431192636,-7.055749128919856,-6.567425569176883,3.8948393378773125,-10.934891485809679,-4.986642920747991,25.38190364277322,141.40271493212668,268.61196908531355,113.65562438326099,3.3276461784030618,2.5628775603817857
BSCPLC,Bangladesh Submarine Cables PLC,133.8,-3.7410071942445966,0.6015037593985048,-5.508474576271174,3.640588690937271,-9.472259810554803,4.286827747466874,5.271439811172319,-20.30970815961882,25.16370439663237,205.68882796435915,3.2914898540713144,2.729502962661052
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,79.1,-1.7391304347826158,-5.269461077844318,-6.057007125890746,4.491413474240411,-11.620111731843581,3.669724770642198,2.8608582574772283,6.891891891891884,-46.38039226335099,75.47016613765335,2.729525297861427,2.2217233097443043
BSRMSTEEL,BSRM Steels Limited,67.9,-1.0204081632652895,-6.730769230769219,-6.986301369863006,6.5934065934065975,-2.7220630372492716,6.9291338582677255,30.82851637764934,38.571428571428584,-18.013172419086867,20.653077109717955,3.8136742006477444,3.071415201940142
BXPHARMA,Beximco Pharmaceuticals Plc,112.3,-2.177700348432056,-11.78318931657502,-3.522336769759457,5.943396226415092,-12.265625000000002,9.029126213592232,40.72681704260652,-40.29771398192451,49.43145183464021,155.5193724854135,5.206361018629132,3.453009276782618
CAPITECGBF,CAPITEC GRAMEEN BDT10 (MUTUAL FUND) Units,6.5,-2.9850746268656745,-5.797101449275367,-5.797101449275367,-5.797101449275367,-16.666666666666664,-4.411764705882351,-13.333333333333334,-54.86111111111111,-54.86111111111111,-54.86111111111111,3.3114026740014437,3.0624207288677727
CAPMBDBLMF,CAPM BDBL Mutual Fund 01 Units,9.6,-2.040816326530623,-2.040816326530623,-5.8823529411764675,-5.8823529411764675,-11.92660550458716,-4.9504950495049505,18.51851851851852,15.662650602409624,-11.111111111111121,-11.111111111111121,3.7200627673749933,3.839874234896424
CAPMIBBLMF,CAPM IBBL Islamic Mutual Fund Units,8.0,0.0,-4.761904761904766,-4.761904761904766,19.402985074626862,-8.045977011494246,6.666666666666667,-5.882352941176471,-50.310559006211186,-20.0,-20.0,3.5642588385204452,4.0551792751477045
CENTRALINS,Central Insurance PLC,38.3,-2.295918367346953,-7.710843373493983,-10.514018691588786,2.1333333333333258,-15.45253863134658,-5.89680589680591,3.7940379403794,-32.50409849564755,180.201736998222,45.472094036734944,4.972542991194859,3.726935623542275
CENTRALPHL,Central Pharmaceuticals Ltd.,8.3,-2.35294117647058,-6.741573033707861,-5.681818181818182,-12.631578947368414,-25.892857142857135,-5.681818181818182,-32.52032520325203,-30.83333333333333,-45.36191707569859,-75.74615506031616,6.214040009186159,4.74952534500742
CITYBANK,City Bank PLC,28.8,-4.318936877076414,-12.727272727272725,6.666666666666669,20.000000000000004,7.462686567164179,18.032786885245912,42.1052629942867,40.85033171419535,88.71260169423147,66.11675119715582,6.055000320782664,4.49164219988839
CITYGENINS,City Insurance PLC,91.7,1.4380530973451293,7.377049180327866,8.009422850412246,19.090909090909093,46.25199362041467,5.767012687427912,156.8627450980392,277.36625514403295,784.4398527216483,282.5013374887144,2.3858678817988506,1.3577462261366204
