Symbol,Name,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20),"Stoch (14,3,3) %K","Stoch (14,3,3) %D",Patterns
1JANATAMF,First Janata Bank Mutual Fund Units,Strong buy,Strong buy,Buy,56.73996237080019,0.20000000000000018,0.07411764705882096,77.21280602636521,33.33333333333337,35.00000000000004,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,Buy,Strong buy,Neutral,66.0462246155535,2.8000000000000007,2.385882352941156,119.54674220962968,79.54545454545458,77.77777777777777,
AAMRANET,aamra networks ltd,Buy,Strong buy,Neutral,67.241889548534,0.6000000000000014,2.073529411764685,89.11260253542132,77.24137931034481,77.06866143647748,
AAMRATECH,Aamra Technologies Limited,Buy,Strong buy,Neutral,66.62709453621692,0.0,0.9891176470588086,75.25655644241802,53.968253968253975,49.408583186360964,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,Sell,Sell,Sell,48.953237512345105,-0.09999999999999964,0.026764705882351247,-21.50537634408848,30.00000000000003,37.222222222222236,Doji
ABBANK,AB Bank PLC,Neutral,Sell,Neutral,54.94825361739149,0.40000000000000036,0.3838235294117487,73.52380952380986,57.5757575757576,57.82828282828285,
ACFL,Aman Cotton Fibrous PLC,Buy,Strong buy,Neutral,65.07904087575314,0.5,2.0105882352941222,59.10165484633588,54.76190476190476,48.31248997915666,
ACI,Advanced Chemical Industries PLC,Buy,Buy,Neutral,52.989009169263085,3.4000000000000057,0.7576470588234088,45.4683008019357,60.60606060606063,50.37878787878793,
ACIFORMULA,ACI Formulations PLC,Strong buy,Strong buy,Buy,67.58253497417817,6.5,2.426176470588274,236.95652173912612,76.35759897828859,61.21842950578582,
ACMELAB,ACME Laboratories Ltd.,Strong buy,Strong buy,Buy,59.84389025652925,2.4000000000000057,2.8108823529412206,81.216320246344,58.228451563691834,57.88579468814504,
ACMEPL,ACME Pesticides Ltd,Buy,Buy,Neutral,50.18030143633303,-0.10000000000000142,-0.5858823529411836,-55.55555555555421,26.100489653305743,15.20817866749315,Long Lower Shadow
ACTIVEFINE,Active Fine Chemicals Ltd.,Strong buy,Strong buy,Neutral,55.6290595981632,0.2999999999999998,0.2579411764705659,55.55555555555119,48.148148148148174,51.29068462401799,
ADNTEL,ADN Telecom Ltd.,Buy,Strong buy,Neutral,62.32570116055925,1.7000000000000028,3.4588235294116956,72.49874308697767,56.953405017921135,50.934153686099705,"Hanging Man, Long Lower Shadow"
ADVENT,Advent Pharma Ltd.,Buy,Strong buy,Neutral,65.69941486093141,0.1999999999999993,1.3373529411764782,72.90984501200552,55.753968253968274,60.05291005291006,
AFCAGRO,AFC Agro Biotech Ltd.,Buy,Strong buy,Sell,58.13456049953765,-0.10000000000000053,0.47500000000004405,42.32187924674787,55.55555555555552,54.98575498575497,Shooting Star
AFTABAUTO,Aftab Automobiles Ltd.,Neutral,Neutral,Neutral,50.73891464701684,-1.6999999999999957,1.281176470588207,-49.015614392395655,29.652509652509647,37.03131703131702,
AGNISYSL,Agni Systems PLC,Buy,Strong buy,Neutral,59.77285867562398,0.0,0.8197058823529524,40.42179261863033,43.27485380116954,30.594967437072615,
AGRANINS,Agrani Insurance PLC,Buy,Strong buy,Neutral,55.69784438443424,-1.3000000000000007,0.9461764705882558,19.78691019786601,30.4876989555512,30.88666719237676,
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,Buy,Strong buy,Buy,56.06891850477786,0.10000000000000053,0.07352941176470207,87.68267223381969,46.666666666666636,45.55555555555551,Doji
AIL,Alif Industries Ltd.,Buy,Buy,Neutral,54.53413207696655,-0.6000000000000014,0.18352941176476634,-6.885196826841168,21.481481481481463,17.38977072310405,
AL-HAJTEX,Alhaj Textile Mills Limited,Neutral,Sell,Buy,50.38479507513299,1.5,1.9188235294116964,26.99172834131279,26.558265582655824,26.73000774803531,
ALARABANK,Al-Arafah Islami Bank PLC,Sell,Sell,Neutral,50.86048903776307,0.1999999999999993,0.7114705882352812,44.86743711760532,54.50396825396828,57.566137566137606,
ALIF,Alif Manufacturing Company Ltd.,Buy,Strong buy,Neutral,57.63260594347579,0.09999999999999964,0.07676470588234796,23.45058626465791,47.619047619047706,46.03174603174616,
ALLTEX,Alltex Industries Limited,Strong buy,Strong buy,Buy,64.01894531708193,0.9000000000000021,0.20382352941177118,187.5000000000043,51.37254901960782,45.8823529411764,"Gravestone Doji, Long Upper Shadow"
AMANFEED,Aman Feed PLC,Buy,Strong buy,Sell,57.83059309695563,-1.3999999999999986,1.3005882352941143,14.167991904004488,49.645390070922,47.947122111255815,Hanging Man
AMBEEPHA,Ambee Pharmaceuticals PLC,Sell,Strong sell,Buy,44.42553855412226,-2.5,-12.144411764703818,-104.56629852097062,10.133333333333361,7.111111111111097,"Hammer, Long Lower Shadow"
AMCLPRAN,Agricultural Marketing Co. Ltd.,Strong buy,Strong buy,Buy,57.008674168902886,4.5,0.2855882352946537,133.6477987420853,35.925925925925874,28.603988603988522,
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,Buy,Strong buy,Sell,65.34557746910437,0.5,4.956470588235312,73.99687337154624,61.69154228855723,51.996033577815346,Black Spinning Top
ANWARGALV,Anwar Galvanizing Ltd.,Buy,Strong buy,Neutral,63.60587122500295,-2.299999999999997,7.557647058823463,60.77270163564548,55.42030897795373,51.24031801781413,
AOL,Associated Oxygen Ltd,Strong buy,Strong buy,Buy,72.11560571187496,1.5,1.4611764705882422,185.5670103092775,83.04711280723279,70.75659140126909,
APEXFOODS,Apex Foods Limited,Neutral,Sell,Neutral,45.417920813662484,-6.0,-8.031764705882495,-97.98783341132011,19.36602771554229,16.107407363100407,
APEXFOOT,Apex Footwear Ltd.,Strong buy,Strong buy,Buy,58.54136905608405,3.8000000000000114,-0.357058823529286,125.94696969695588,39.83702571937861,29.4440200322553,
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,Buy,Buy,Neutral,51.61742855082051,1.3999999999999773,-0.4838235294114952,60.256040042352105,79.7055730809674,80.05608131791094,Bearish Harami
APEXTANRY,Apex Tannery Limited.,Neutral,Neutral,Neutral,48.67358235332172,-3.3999999999999915,-6.250294117647087,-78.71884515619726,25.324675324675344,18.34404934243905,
APOLOISPAT,Appollo Ispat Complex Ltd.,Sell,Sell,Neutral,46.78698724818213,0.0,0.07470588235293718,-88.88888888888893,6.666666666666669,19.629629629629612,"Gravestone Doji, Long Upper Shadow"
ARAMIT,Aramit Limited,Strong buy,Strong buy,Buy,74.86624655641876,24.900000000000006,9.126764705882493,240.6802227063691,69.62850865393239,54.198513873655116,
ARAMITCEM,Aramit Cement Limited,Sell,Sell,Sell,45.6633536315944,-1.3000000000000007,-0.2944117647058633,-139.62997035673953,27.070707070707034,18.13824519706874,
ARGONDENIM,Argon Denims Ltd.,Buy,Strong buy,Sell,61.872684690301206,0.6999999999999993,0.6999999999999993,73.70892018779352,55.55555555555557,48.148148148148145,
ASIAINS,Asia Insurance PLC,Buy,Strong buy,Neutral,55.329048565413196,-2.200000000000003,0.8614705882352922,21.34423251589384,37.95571990707818,33.50558637146606,
ASIAPACINS,Asia Pacific General Insurance PLC,Buy,Strong buy,Neutral,57.4091923802527,-1.2000000000000028,0.5779411764706026,13.176282691156965,35.083056478405354,30.900701365817692,
