Symbol,Name,Market Capitalization Performance,Market Capitalization Performance % 1Y,P/E,"P/E/Growth, Trading 12M",P/S,P/B,P/CF,P/FCF,P/Cash,EV,EV/Revenue TTM,EV/EBIT TTM,EV/EBITDA TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,,,,
AAMRANET,aamra networks ltd,1478380562.0,-32.916665046506374,,,,,,,,,,,
AAMRATECH,Aamra Technologies Limited,757077074.0,-21.05263058363014,,,,,,,,,,,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,,,,,,,
ABBANK,AB Bank PLC,5911585352.0,-6.756756675816043,,,,,,,,28719443389.0,,,
ACFL,Aman Cotton Fibrous PLC,1744416634.0,-3.8888931245790173,104.65819721718088,,0.7924280303843354,0.5208908860052878,3.66281635896178,3.678209622419912,1.6831687440664564,2188175416.0,1.011553645562531,24.820890072916296,16.418541830723246
ACI,Advanced Chemical Industries PLC,18210858106.0,25.65632364659865,157.89873225537085,,0.11750050902961293,2.293173652008032,,,2.614316202929502,92518399106.0,0.6182313331513116,8.223132154914818,6.953224569085597
ACIFORMULA,ACI Formulations PLC,6676425144.0,11.05920005028097,19.161155112816743,,1.220472325134924,1.820071458487376,,,36.263143263617486,10901843144.0,2.058448258023757,16.07587062480488,
ACMELAB,ACME Laboratories Ltd.,16504932587.0,5.518167299794202,6.41507253077501,0.8815603870113621,0.41931216732759674,0.6064563483335407,3.817583599306016,9.734052922201515,5.693269099099704,38246917103.0,0.9842921501126497,5.605023142001767,
ACMEPL,ACME Pesticides Ltd,2241000051.0,22.302161597340923,,,,,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,1607575070.0,-27.659569526761146,,,,,,,,,,,
ADNTEL,ADN Telecom Ltd.,3723935790.0,-32.75862069026823,25.273909817102446,,1.8928291701085567,1.7501721456022317,9.869204678134018,21.90422213981966,13.372699274256105,3965375994.0,2.0731372048620975,17.246503027876926,9.755515745016524
ADVENT,Advent Pharma Ltd.,1229352100.0,-18.93491053958652,21.735550798616828,,2.344167028450802,0.7934938314871576,18.8241085566535,212.67926156209612,356.4416901689409,1301698104.0,2.5203051691476226,15.6829811996721,
AFCAGRO,AFC Agro Biotech Ltd.,783470194.0,-30.097090493187608,,,,,,,,,,,
AFTABAUTO,Aftab Automobiles Ltd.,2944705196.0,-18.497104028604287,,-0.6579973366504914,3.525805074598166,0.60577505552938,,,11.034704280393981,25522957072.0,31.346044141427946,435.55292382222353,200.95204228889037
AGNISYSL,Agni Systems PLC,1465635257.0,-24.723249708544923,44.66827238887672,,2.0955137478146497,1.181186478657292,13.441127391338615,74.96989176532084,28.41348009569482,1466607501.0,2.128515702970993,13.23877130279459,8.51268247961227
AGRANINS,Agrani Insurance PLC,763596460.0,-1.9170116419457903,21.40610733488891,,3.167066699626853,1.21629886595983,35.231162957540214,36.40920832876219,,864593133.0,3.654918076068479,,
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,,,,,,,
AIL,Alif Industries Ltd.,1377554368.0,-62.26913030562108,,,,,,,,,,,
AL-HAJTEX,Alhaj Textile Mills Limited,2849754714.0,-20.07551172930137,,,,,,,,,,,
ALARABANK,Al-Arafah Islami Bank PLC,20269775635.0,-21.32701383235947,41.517537580529705,,0.39704628589767715,0.834205893520809,0.4778668803466325,0.490960748419057,,62657403871.0,1.2486225940880726,,
ALIF,Alif Manufacturing Company Ltd.,1273642334.0,-31.506851098267543,,,,,,,,,,,
ALLTEX,Alltex Industries Limited,772358400.0,,,,1.3484613501900804,0.5256141143909014,10.927046562752214,47.05286084627076,71.05114254624591,3827898400.0000005,6.635051793283788,23.92350076353492,16.607959068017127
AMANFEED,Aman Feed PLC,2973028133.0,-13.483147094968258,142.85714285714283,,0.32775915494514996,0.8087798576048643,32.073746523866596,33.65508269585874,17.311226482872907,8410635448.0,0.943855744801366,15.954752341576633,14.927064610245276
AMBEEPHA,Ambee Pharmaceuticals PLC,2242944054.0,1.1105025448568082,392.0553536761412,,9.570490262195841,66.56007139404306,126.9079854666509,,14.35796158023866,2111624054.0,10.890496985593149,298.0019664292952,
AMCLPRAN,Agricultural Marketing Co. Ltd.,1646400024.0,1.3157879700163932,42.150625897804225,,0.43510852586027104,2.2045900337289397,7.187070868896967,7.914734343425294,35.21721425662788,2498905024.0,0.6629846836935763,9.133287261902343,8.273172953926673
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,2837585556.0,27.49657852960376,,-0.025074469713192663,4.384607804820135,21.22761043925699,,,6.1267543109768745,3032570561.0,4.835063527533618,,
AOL,Associated Oxygen Ltd,1712599206.0,-9.467452477289124,,,,,,,,,,,
APEXFOODS,Apex Foods Limited,1280759014.0,4.489020682540478,32.084498644216985,0.7694740101361487,0.49064124789439173,1.5093116850843875,,,3.0310940932418258,1196327014.0,0.47238821839733214,16.206190074823414,13.394106256092037
